"stdr_de","ph_value","cod_value","ss_value","tn_value","tp_value"
"4/7/2019 12:00","6.9","5.4","1.6","3.371","0.12"
"4/8/2019 12:00","6.9","5.6","1.6","3.549","0.127"
"4/9/2019 12:00","6.9","5.3","1.6","2.86","0.118"
"4/10/2019 12:00","6.9","5.6","1.6","3.01","0.14"
"4/11/2019 12:00","6.9","5.2","1.6","3.107","0.101"
"4/12/2019 12:00","6.8","5.4","1.6","3.387","0.132"
"4/13/2019 12:00","6.9","5.1","1.6","2.871","0.116"
"4/14/2019 12:00","6.9","5.3","1.6","2.78","0.098"
"4/15/2019 12:00","6.9","5.7","1.6","2.937","0.091"
"4/16/2019 12:00","6.9","5.9","1.6","1.688","0.129"
"4/17/2019 12:00","6.9","5.7","1.7","1.339","0.131"
"4/18/2019 12:00","6.9","5.7","1.6","1.117","0.098"
"4/19/2019 12:00","6.9","5.5","1.6","1.131","0.129"
"4/20/2019 12:00","6.9","5.9","1.6","1.356","0.124"
"4/21/2019 12:00","6.9","6.2","1.7","1.971","0.131"
"4/22/2019 12:00","6.9","6.6","1.7","2.132","0.086"
"4/23/2019 12:00","6.9","6.6","1.7","1.436","0.058"
"4/24/2019 12:00","6.9","19.8","1.7","1.294","0.054"
"4/25/2019 12:00","6.9","33.7","1.7","0.908","0.07"
"4/26/2019 12:00","6.9","21","1.7","0.837","0.076"
"4/27/2019 12:00","6.9","4.9","1.7","0.91","0.135"
"4/28/2019 12:00","6.8","4.9","1.7","1.679","0.107"
"4/29/2019 12:00","6.9","5.9","2.3","1.929","0.104"
"4/30/2019 12:00","6.9","6.3","1.8","2.947","0.089"
"5/1/2019 12:00","6.9","6","1.8","3.275","0.09"
"5/2/2019 12:00","6.9","6","1.9","3.433","0.112"
"5/3/2019 12:00","6.9","5.8","1.9","3.271","0.135"
"5/4/2019 12:00","6.9","5.4","1.9","3.453","0.123"
"5/5/2019 12:00","6.9","5.5","1.8","3.968","0.12"
"5/6/2019 12:00","6.9","5.6","1.9","5.196","0.13"
"5/7/2019 12:00","6.9","5.9","1.8","4.216","0.108"
"5/8/2019 12:00","6.9","5.7","1.8","3.296","0.091"
"5/9/2019 12:00","6.9","5.8","1.8","2.835","0.105"
"5/10/2019 12:00","6.9","5.6","1.8","2.644","0.143"
"5/11/2019 12:00","6.9","5.6","1.8","2.447","0.12"
"5/12/2019 12:00","6.9","5.6","1.8","3.057","0.097"
"5/13/2019 12:00","6.9","5.2","1.7","3.083","0.079"
"5/14/2019 12:00","6.9","5.4","1.7","3.05","0.067"
"5/15/2019 12:00","7","5.4","1.6","3.642","0.061"
"5/16/2019 12:00","7","3.9","1.6","3.69","0.082"
"5/17/2019 12:00","6.9","4.2","1.6","3.496","0.135"
"5/18/2019 12:00","6.9","3.8","1.6","3.421","0.098"
"5/19/2019 12:00","6.9","4.4","1.6","3.672","0.089"
"5/20/2019 12:00","6.9","4.5","1.6","3.793","0.068"
"5/21/2019 12:00","7","5","1.6","3.736","0.079"
"5/22/2019 12:00","7","4.3","1.6","3.617","0.095"
"5/23/2019 12:00","7","4.9","1.6","3.57","0.141"
"5/24/2019 12:00","7","4.8","1.6","2.956","0.116"
"5/25/2019 12:00","6.9","4.3","1.6","2.704","0.109"
"5/26/2019 12:00","6.9","4.5","1.6","3.326","0.091"
"5/27/2019 12:00","7","4.6","1.6","3.226","0.086"
"5/28/2019 12:00","7","6","1.6","2.834","0.085"
"5/29/2019 12:00","7","5.6","1.6","2.643","0.147"
"5/30/2019 12:00","7","4.3","1.6","2.534","0.158"
"5/31/2019 12:00","7","4.7","1.6","2.519","0.137"
"6/1/2019 12:00","7","4.7","1.6","2.85","0.146"
"6/2/2019 12:00","7","4.3","1.6","2.997","0.127"
"6/3/2019 12:00","6.9","4.3","1.7","2.697","0.097"
"6/4/2019 12:00","7","5","1.6","2.192","0.11"
"6/5/2019 12:00","7","5","1.6","2.144","0.087"
"6/6/2019 12:00","7","4.6","1.6","2.237","0.141"
"6/7/2019 12:00","7","4.8","1.6","2.227","0.151"
"6/8/2019 12:00","7","4.7","1.6","2.57","0.125"
"6/9/2019 12:00","6.9","4.9","1.6","2.678","0.062"
"6/10/2019 12:00","7","5.2","1.6","2.522","0.047"
"6/11/2019 12:00","7","5.6","1.6","1.973","0.054"
"6/12/2019 12:00","7","5.7","1.6","1.948","0.059"
"6/13/2019 12:00","7","5.4","1.6","1.714","0.082"
"6/14/2019 12:00","7","5.5","1.6","1.737","0.124"
"6/15/2019 12:00","7","5.3","1.6","2.062","0.104"
"6/16/2019 12:00","7","5.5","1.6","2.234","0.146"
"6/17/2019 12:00","7","5.3","1.6","3.629","0.054"
"6/18/2019 12:00","7","5.7","1.6","2.624","0.098"
"6/19/2019 12:00","7","5.6","1.6","2.495","0.092"
"6/20/2019 12:00","7","5.4","1.6","2.047","0.132"
"6/21/2019 12:00","7","5.6","1.6","2.161","0.122"
"6/22/2019 12:00","7","5.3","1.6","2.544","0.152"
"6/23/2019 12:00","7","5.7","1.6","3.044","0.086"
"6/24/2019 12:00","7","5.5","1.6","2.844","0.118"
"6/25/2019 12:00","7","5.1","1.5","2.118","0.057"
"6/26/2019 12:00","7","5.4","1.5","2.153","0.074"
"6/27/2019 12:00","7","5.3","1.6","2.393","0.081"
"6/28/2019 12:00","7","5.7","1.6","2.309","0.095"
"6/29/2019 12:00","7","5.6","1.6","2.588","0.108"
"6/30/2019 12:00","7","5.5","1.6","2.666","0.197"
"7/1/2019 12:00","7","5.7","1.6","2.815","0.11"
"7/2/2019 12:00","7","5.8","1.6","2.244","0.097"
"7/3/2019 12:00","7","5.2","1.6","2.05","0.096"
"7/4/2019 12:00","7","5.6","1.6","1.973","0.078"
"7/5/2019 12:00","7","5.4","1.6","1.836","0.109"
"7/6/2019 12:00","7","5.5","1.6","2.009","0.079"
"7/7/2019 12:00","7","5.7","1.6","2.271","0.08"
"7/8/2019 12:00","7","5.7","2.5","3.092","0.06"
"7/9/2019 12:00","7","5.7","1.6","3.173","0.049"
"7/10/2019 12:00","7","5.8","1.6","3.183","0.049"
"7/11/2019 12:00","7.1","5.7","1.6","2.177","0.068"
"7/12/2019 12:00","7.1","5.7","1.6","2.112","0.11"
"7/13/2019 12:00","7","5.8","1.6","2.644","0.125"
"7/14/2019 12:00","7","5.6","2","5.033","0.062"
"7/15/2019 12:00","6.9","6","1.9","5.915","0.042"
"7/16/2019 12:00","6.9","5.6","1.7","3.064","0.037"
"7/17/2019 12:00","7","5.5","1.7","3.076","0.036"
"7/18/2019 12:00","7","5.4","1.7","3.005","0.035"
"7/19/2019 12:00","7","5.7","1.6","2.888","0.042"
"7/20/2019 12:00","7.1","5.6","1.5","2.246","0.083"
"7/21/2019 12:00","7","5.7","1.5","3.012","0.1"
"7/22/2019 12:00","7","5.7","1.5","2.861","0.093"
"7/23/2019 12:00","7","5.6","1.4","2.982","0.053"
"7/24/2019 12:00","7","5.2","1.4","2.194","0.094"
"7/25/2019 12:00","7","4.7","1.5","1.985","0.109"
"7/26/2019 12:00","7","4.9","1.5","2.747","0.1"
"7/27/2019 12:00","6.9","4.8","1.5","3.841","0.12"
"7/28/2019 12:00","6.9","4.3","1.5","3.644","0.044"
"7/29/2019 12:00","6.9","4.4","1.5","3.588","0.034"
"7/30/2019 12:00","6.9","4.5","1.5","3.487","0.035"
"7/31/2019 12:00","6.9","4.9","1.6","3.226","0.043"
"8/1/2019 12:00","6.9","5.1","1.6","2.8","0.061"
"8/2/2019 12:00","6.9","5.1","1.6","2.893","0.095"
"8/3/2019 12:00","6.9","5.8","1.6","3.433","0.103"
"8/4/2019 12:00","7","9.3","1.6","3.875","0.102"
"8/5/2019 12:00","7","4.9","3.1","3.673","0.121"
"8/6/2019 12:00","6.9","4.3","1.8","3.004","0.057"
"8/7/2019 12:00","7","4","1.6","3.072","0.041"
"8/8/2019 12:00","7","4","1.6","3.194","0.041"
"8/9/2019 12:00","7","3.9","2.2","2.531","0.047"
"8/10/2019 12:00","7","4.3","1.7","3.496","0.073"
"8/11/2019 12:00","7","4.3","1.6","3.83","0.069"
"8/12/2019 12:00","7","4.3","1.6","2.823","0.134"
"8/13/2019 12:00","6.9","3.4","1.7","2.609","0.163"
"8/14/2019 12:00","6.9","3.4","1.6","2.671","0.134"
"8/15/2019 12:00","7","3.6","1.7","2.462","0.14"
"8/16/2019 12:00","7","3.6","1.9","2.864","0.2"
"8/17/2019 12:00","7","3.6","1.6","3.281","0.204"
"8/18/2019 12:00","7","3.6","1.7","3.561","0.17"
"8/19/2019 12:00","7","3.6","1.7","3.486","0.087"
"8/20/2019 12:00","7","3.1","1.7","2.088","0.072"
"8/21/2019 12:00","7","3.1","1.7","2.364","0.185"
"8/22/2019 12:00","7","3.1","1.7","2.936","0.197"
"8/23/2019 12:00","7","2.8","1.6","3.025","0.185"
"8/24/2019 12:00","7","3.2","1.8","2.893","0.146"
"8/25/2019 12:00","6.9","3.4","1.8","3.967","0.139"
"8/26/2019 12:00","7","3.5","1.7","3.268","0.081"
"8/27/2019 12:00","7","3.3","1.7","1.726","0.068"
"8/28/2019 12:00","7","3.3","1.7","2.083","0.111"
"8/29/2019 12:00","7.1","3.6","1.7","1.961","0.149"
"8/30/2019 12:00","7","3.5","1.7","2.181","0.186"
"8/31/2019 12:00","7.1","3.5","1.8","2.371","0.206"
"9/1/2019 12:00","7","3.7","1.7","2.488","0.166"
